video_id,title,publishedAt,publishtime,views,likes,comments,duration,subscriber_count,duration_seconds,duration_minutes,video_type,thumbnail_url
rNtbQfvkxm0,putting Antarctica ICE into a DRINK,13-02-2024,15:30:13Z,17434367,699441,6909,PT37S,7260000,37,1,Shorts,https://i.ytimg.com/vi/rNtbQfvkxm0/hqdefault.jpg
xCmJt44btiw,I Bought MINI BEAUTY PRODUCTS that actually work,03-02-2024,15:30:11Z,7361251,85794,2486,PT10M1S,7260000,601,10,Full Video,https://i.ytimg.com/vi/xCmJt44btiw/hqdefault.jpg
#NAME?,I Bought SATISFYING Viral TikTok Products,27-01-2024,15:30:00Z,4945894,80606,2612,PT12M2S,7260000,722,12,Full Video,https://i.ytimg.com/vi/-FGsUHtikbk/hqdefault.jpg
0bTxLaKXkj4,I Bought the SAME Products from TIKTOK SHOP vs AMAZON *not sponsored*,13-01-2024,15:49:37Z,5019712,105308,3117,PT15M2S,7260000,902,15,Full Video,https://i.ytimg.com/vi/0bTxLaKXkj4/hqdefault.jpg
g-EmQyQz6ps,Customizing Apple Products and Giving them Away! 🔴 LIVE EXPERIENCE 🔴,03-01-2024,02:11:09Z,1694044,17874,4335,PT2H1M12S,7260000,7272,121,Full Video,https://i.ytimg.com/vi/g-EmQyQz6ps/hqdefault.jpg
b5Jvs2B-UeA,I Bought EVERY American Girl Doll EVER (1986 - 2024),30-12-2023,14:30:17Z,10404170,158445,17718,PT33M18S,7260000,1998,33,Full Video,https://i.ytimg.com/vi/b5Jvs2B-UeA/hqdefault.jpg
0Iwi1Tm9ArQ,3 MOST CURSED Outfits in my Closet,24-12-2023,16:00:01Z,4702956,145586,655,PT25S,7260000,25,0,Shorts,https://i.ytimg.com/vi/0Iwi1Tm9ArQ/hqdefault.jpg
OLvRv-poMtA,I Bought 100 UNCLAIMED MAIL PACKAGES,17-12-2023,16:00:12Z,9514549,155644,7016,PT22M10S,7260000,1330,22,Full Video,https://i.ytimg.com/vi/OLvRv-poMtA/hqdefault.jpg
qQ8glsAuty0,I Bought DISCONTINUED Products from our CHILDHOOD (again),09-12-2023,15:30:10Z,9761274,123447,7859,PT19M42S,7260000,1182,20,Full Video,https://i.ytimg.com/vi/qQ8glsAuty0/hqdefault.jpg
oJEdK7X4Bxg,I Bought UNUSUAL Beauty Products,26-11-2023,15:30:11Z,5381293,73514,3384,PT16M47S,7260000,1007,17,Full Video,https://i.ytimg.com/vi/oJEdK7X4Bxg/hqdefault.jpg
RLVjhKxNVrQ,Melting ULTRA Realistic VIRAL TikTok Candles,04-11-2023,14:30:07Z,1926669,33604,1562,PT14M5S,7260000,845,14,Full Video,https://i.ytimg.com/vi/RLVjhKxNVrQ/hqdefault.jpg
WkcU4767bVg,I Bought EVERY KYLIE X BRATZ Doll 🔴 LIVE EXPERIENCE 🔴,28-10-2023,00:34:04Z,561151,9963,2596,PT56M12S,7260000,3372,56,Full Video,https://i.ytimg.com/vi/WkcU4767bVg/hqdefault.jpg
xpQslI2XIzg,4 Halloween Costume Options,26-10-2023,14:30:30Z,68137115,812126,1877,PT14S,7260000,14,0,Shorts,https://i.ytimg.com/vi/xpQslI2XIzg/hqdefault.jpg
Pd8lY_CeL_c,I Bought 250 MYSTERY Costumes for CHEAP,21-10-2023,14:30:07Z,2794889,63541,2393,PT13M30S,7260000,810,14,Full Video,https://i.ytimg.com/vi/Pd8lY_CeL_c/hqdefault.jpg
g4UgMi5sqgo,FAILED and FORGOTTEN PRODUCTS of Disney Channel Stars,07-10-2023,15:00:37Z,7355203,113101,4773,PT20M4S,7260000,1204,20,Full Video,https://i.ytimg.com/vi/g4UgMi5sqgo/hqdefault.jpg
kVOYKKDudKs,Baking a Realistic CAKE 🔴 LIVE EXPERIENCE 🔴,30-09-2023,01:33:11Z,911374,10994,2151,PT1H24M11S,7260000,5051,84,Full Video,https://i.ytimg.com/vi/kVOYKKDudKs/hqdefault.jpg
l52SsWp2B9c,I DYED MY HAIR PINK,26-09-2023,14:00:36Z,3226447,181338,2864,PT27S,7260000,27,0,Shorts,https://i.ytimg.com/vi/l52SsWp2B9c/hqdefault.jpg
VmrOxpNjJoA,I Actually Bought 100 Tiktok Shop Products,24-09-2023,14:30:17Z,10155760,127959,4574,PT28M15S,7260000,1695,28,Full Video,https://i.ytimg.com/vi/VmrOxpNjJoA/hqdefault.jpg
inCrmz5-u1k,I Bought the Internet's MOST ADORABLE Products,09-09-2023,14:30:26Z,10659027,166387,6213,PT13M21S,7260000,801,13,Full Video,https://i.ytimg.com/vi/inCrmz5-u1k/hqdefault.jpg
cZEp5zeX-Lc,I Bought Discontinued BEAUTY Products from our CHILDHOOD,27-08-2023,14:30:12Z,6564397,81433,3902,PT16M33S,7260000,993,17,Full Video,https://i.ytimg.com/vi/cZEp5zeX-Lc/hqdefault.jpg
kTkGjZv4kZU,3 CURSED Hair Tools that shouldn’t exist,23-08-2023,18:51:23Z,6492741,279218,831,PT1M,7260000,60,1,Shorts,https://i.ytimg.com/vi/kTkGjZv4kZU/hqdefault.jpg
SUQV5FevGDU,Testing Viral Tiktok Art Hacks 🔴 LIVE EXPERIENCE 🔴,16-08-2023,20:12:36Z,1396933,17449,4535,PT1H5M1S,7260000,3901,65,Full Video,https://i.ytimg.com/vi/SUQV5FevGDU/hqdefault.jpg
nY6R3yB9EvE,I Bought Tiktok’s RAREST Products,06-08-2023,14:30:26Z,11384862,156097,5316,PT15M19S,7260000,919,15,Full Video,https://i.ytimg.com/vi/nY6R3yB9EvE/hqdefault.jpg
_CxG-9LMVTc,"$1 vs $1,000 Curling Iron!",29-07-2023,14:30:20Z,7419069,120554,5837,PT18M32S,7260000,1112,19,Full Video,https://i.ytimg.com/vi/_CxG-9LMVTc/hqdefault.jpg
RdaXdkYW74I,EVERY Barbie Dreamhouse TV! (1962-2023),22-07-2023,14:00:23Z,6916889,382785,868,PT42S,7260000,42,1,Shorts,https://i.ytimg.com/vi/RdaXdkYW74I/hqdefault.jpg
3gCoJ5rU-4o,I Bought Discontinued Barbies From Our Childhood 🔴 LIVE EXPERIENCE 🔴,20-07-2023,00:27:00Z,2124079,29431,5332,PT1H10M48S,7260000,4248,71,Full Video,https://i.ytimg.com/vi/3gCoJ5rU-4o/hqdefault.jpg
bj9MtssfkgM,I Bought Every Barbie Dreamhouse EVER,15-07-2023,14:30:09Z,20493662,304355,24669,PT22M17S,7260000,1337,22,Full Video,https://i.ytimg.com/vi/bj9MtssfkgM/hqdefault.jpg
C_Jfd3iLcas,I Bought EVERY Barbie Movie outfit,11-07-2023,17:04:00Z,3235150,113006,620,PT7S,7260000,7,0,Shorts,https://i.ytimg.com/vi/C_Jfd3iLcas/hqdefault.jpg
zbrdN7QaWMc,I Bought UNREALISTIC Instagram Products,08-07-2023,14:30:21Z,6050787,113731,2524,PT10M26S,7260000,626,10,Full Video,https://i.ytimg.com/vi/zbrdN7QaWMc/hqdefault.jpg
yrEqz782KpY,I Made my BARBIE Dream Shoes,03-07-2023,20:45:46Z,10054600,718017,2385,PT49S,7260000,49,1,Shorts,https://i.ytimg.com/vi/yrEqz782KpY/hqdefault.jpg
x62UnYWXHBE,I Bought LOST TEMU PACKAGES for CHEAP,24-06-2023,14:30:14Z,12655504,166574,10246,PT22M6S,7260000,1326,22,Full Video,https://i.ytimg.com/vi/x62UnYWXHBE/hqdefault.jpg
LCmAN0n3WCY,Opening a 100 lb MYSTERY Bale of Clothes! 🔴 LIVE EXPERIENCE 🔴,17-06-2023,00:10:42Z,1349686,24258,3023,PT58M27S,7260000,3507,58,Full Video,https://i.ytimg.com/vi/LCmAN0n3WCY/hqdefault.jpg
cwcdGBmqd5E,I Bought SATISFYING VIRAL Tiktok BEAUTY Products,10-06-2023,14:30:08Z,16207540,130484,5792,PT14M32S,7260000,872,15,Full Video,https://i.ytimg.com/vi/cwcdGBmqd5E/hqdefault.jpg
bg9iwoQyza8,I Bought UNREALISTIC Pinterest WEDDING DRESSES for CHEAP,03-06-2023,14:30:16Z,7074038,132082,4048,PT11M49S,7260000,709,12,Full Video,https://i.ytimg.com/vi/bg9iwoQyza8/hqdefault.jpg
hooLoBuDrxQ,I bought a POPCORN CLOTHES collection!,28-05-2023,14:00:23Z,28411101,977512,3496,PT47S,7260000,47,1,Shorts,https://i.ytimg.com/vi/hooLoBuDrxQ/hqdefault.jpg
BbnbMgATaOQ,Customizing CHANEL BAGS and GIVING them AWAY! 🔴 LIVE EXPERIENCE 🔴,25-05-2023,01:13:27Z,719980,14638,3797,PT1H3M1S,7260000,3781,63,Full Video,https://i.ytimg.com/vi/BbnbMgATaOQ/hqdefault.jpg
bShEDrieGDU,I Bought DISCONTINUED Products from Our Childhood,20-05-2023,14:30:16Z,22134538,306968,17637,PT17M41S,7260000,1061,18,Full Video,https://i.ytimg.com/vi/bShEDrieGDU/hqdefault.jpg
Z5XeylD-1rE,I Bought Fashion from the FUTURE,14-05-2023,14:30:08Z,4962515,86301,2498,PT12M53S,7260000,773,13,Full Video,https://i.ytimg.com/vi/Z5XeylD-1rE/hqdefault.jpg
DQIltT5bIBc,I MADE 4 Iconic CELEBRITY DRESSES for CHEAP,30-04-2023,14:15:00Z,3943592,83938,3468,PT11M3S,7260000,663,11,Full Video,https://i.ytimg.com/vi/DQIltT5bIBc/hqdefault.jpg
wjC-_ZILekw,Opening LOST MAIL Packages 🔴 LIVE EXPERIENCE 🔴,27-04-2023,01:25:30Z,2582884,30508,5068,PT1H5M15S,7260000,3915,65,Full Video,https://i.ytimg.com/vi/wjC-_ZILekw/hqdefault.jpg
ITKUxsmLd1M,I Bought the REAL VERSION of SCAM DRESSES,22-04-2023,14:30:04Z,7464839,147496,4494,PT11M15S,7260000,675,11,Full Video,https://i.ytimg.com/vi/ITKUxsmLd1M/hqdefault.jpg
wIdLZCSXXBA,I made a Sunset Ombré WEDDING DRESS,16-04-2023,13:45:05Z,7851292,383378,1656,PT30S,7260000,30,0,Shorts,https://i.ytimg.com/vi/wIdLZCSXXBA/hqdefault.jpg
buKcergt4dA,I Bought UNREALISTIC Beauty Products,02-04-2023,14:15:02Z,15081592,157399,5694,PT19M7S,7260000,1147,19,Full Video,https://i.ytimg.com/vi/buKcergt4dA/hqdefault.jpg
MvmlDEpe7hE,I made LAVA LAMP SHOES,17-03-2023,13:30:15Z,29902369,1321539,2021,PT29S,7260000,29,0,Shorts,https://i.ytimg.com/vi/MvmlDEpe7hE/hqdefault.jpg
GJF7DCuUA8M,Testing TikTok Art Hacks! 🔴 LIVE STREAM 🔴,16-03-2023,02:37:27Z,1587947,15056,3677,PT1H17M30S,7260000,4650,78,Full Video,https://i.ytimg.com/vi/GJF7DCuUA8M/hqdefault.jpg
t0lCe1qQJtk,I Bought VIRAL TIKTOK Products from our Childhood,12-03-2023,14:30:13Z,12576506,131237,8472,PT14M57S,7260000,897,15,Full Video,https://i.ytimg.com/vi/t0lCe1qQJtk/hqdefault.jpg
A2pKIwGQmLY,The World's Biggest MINI Collection,05-03-2023,15:30:02Z,5196312,60247,2660,PT9M32S,7260000,572,10,Full Video,https://i.ytimg.com/vi/A2pKIwGQmLY/hqdefault.jpg
