video_id,title,publishedAt,publishtime,views,likes,comments,duration,subscriber_count,duration_seconds,duration_minutes,video_type,thumbnail_url,PublishedDay_Monday,PublishedDay_Saturday,PublishedDay_Sunday,PublishedDay_Thursday,PublishedDay_Tuesday,PublishedDay_Wednesday,Year,Month,Day
JqwovnaeY1o,Opening ENTIRE Advent Calendar: JEWELRY Theme (DAY 19),2024-12-19,15:30:08Z,932803,62550,309.0,PT47S,7260000,47,1,Shorts,https://i.ytimg.com/vi/JqwovnaeY1o/hqdefault.jpg,0,0,0,1,0,0,2024,12,19
P_WfJWEqr3E,Opening ENTIRE MAC Beauty Advent Calendar (day 18),2024-12-18,15:30:14Z,886284,62053,331.0,PT1M19S,7260000,79,1,Shorts,https://i.ytimg.com/vi/P_WfJWEqr3E/hqdefault.jpg,0,0,0,0,0,1,2024,12,18
9O0GKAUk8Cs,Opening ENTIRE Barbie Advent Calendar (day 19),2024-12-17,16:24:52Z,1355320,81939,401.0,PT51S,7260000,51,1,Shorts,https://i.ytimg.com/vi/9O0GKAUk8Cs/hqdefault.jpg,0,0,0,0,1,0,2024,12,17
JdefkMELsWQ,SCAMMED by FAKE LEGO Advent Calendar?? (Day 16),2024-12-15,19:37:47Z,964117,54944,394.0,PT53S,7260000,53,1,Shorts,https://i.ytimg.com/vi/JdefkMELsWQ/hqdefault.jpg,0,0,1,0,0,0,2024,12,15
sbIZUDL5_mE,Opening ENTIRE TAYLOR SWIFT Advent Calendar (day 14),2024-12-14,15:30:17Z,2608776,130603,778.0,PT1M36S,7260000,96,2,Shorts,https://i.ytimg.com/vi/sbIZUDL5_mE/hqdefault.jpg,0,1,0,0,0,0,2024,12,14
OZbM5IRCKqY,I Bought #1 Products From Our Childhood *every decade*,2024-12-14,14:30:08Z,6539556,61621,4218.0,PT30M14S,7260000,1814,30,Full Video,https://i.ytimg.com/vi/OZbM5IRCKqY/hqdefault.jpg,0,1,0,0,0,0,2024,12,14
9sIE01DvWWY,TEMU SLIME Advent Calendar: Opening ENTIRE Advent every day until Christmas (Day 13),2024-12-13,18:22:19Z,901915,56499,752.0,PT1M41S,7260000,101,2,Shorts,https://i.ytimg.com/vi/9sIE01DvWWY/hqdefault.jpg,0,0,0,0,0,0,2024,12,13
yMGAmlKXX64,SHEIN Beauty Advent Calendar: Opening ENTIRE Advent Every day until Christmas (Day 11),2024-12-12,01:04:47Z,1216337,77577,369.0,PT1M1S,7260000,61,1,Shorts,https://i.ytimg.com/vi/yMGAmlKXX64/hqdefault.jpg,0,0,0,1,0,0,2024,12,12
wlZ4_E_REDs,CROCS Advent Calendar! Opening ENTIRE Calendar EVERY DAY (Day 10),2024-12-10,18:31:09Z,8485642,293421,452.0,PT35S,7260000,35,1,Shorts,https://i.ytimg.com/vi/wlZ4_E_REDs/hqdefault.jpg,0,1,0,0,0,0,2024,12,10
YLlED-x5sN0,CUTEST Charm Bracelet Advent Calendar! (Day 9),2024-12-09,16:09:57Z,3076818,208877,570.0,PT45S,7260000,45,1,Shorts,https://i.ytimg.com/vi/YLlED-x5sN0/hqdefault.jpg,0,0,0,1,0,0,2024,12,9
JqSvtIHz4xU,Opening ENTIRE MINI BRANDS Advent Calendar (Day 8),2024-12-08,18:33:29Z,1156204,71699,325.0,PT54S,7260000,54,1,Shorts,https://i.ytimg.com/vi/JqSvtIHz4xU/hqdefault.jpg,1,0,0,0,0,0,2024,12,8
hkk4wngUcII,Opening ENTIRE ADVENT CALENDAR (Day 7) Ulta Makeup theme,2024-12-08,01:38:40Z,1215867,80835,262.0,PT48S,7260000,48,1,Shorts,https://i.ytimg.com/vi/hkk4wngUcII/hqdefault.jpg,1,0,0,0,0,0,2024,12,8
YY4WKNKD9Ho,I Bought EVERY DYSON Product,2024-12-07,17:30:10Z,5299091,69819,3145.0,PT1H9M30S,7260000,4170,70,Full Video,https://i.ytimg.com/vi/YY4WKNKD9Ho/hqdefault.jpg,0,0,0,0,0,0,2024,12,7
1sLULa6Roo0,BUILD-A-BEAR Advent Calendar! Opening ENTIRE advent every day until Christmas (day 6),2024-12-06,15:00:01Z,1539999,86247,343.0,PT1M2S,7260000,62,1,Shorts,https://i.ytimg.com/vi/1sLULa6Roo0/hqdefault.jpg,0,0,0,0,0,1,2024,12,6
cPgBpP9KIBs,NAILS 💅 Advent Calendar: Opening and ENTIRE Advent EVERY DAY until Christmas (day 5),2024-12-05,20:54:28Z,2715598,127709,290.0,PT43S,7260000,43,1,Shorts,https://i.ytimg.com/vi/cPgBpP9KIBs/hqdefault.jpg,0,0,1,0,0,0,2024,12,5
JNONw_epaQs,Opening ENTIRE ADVENT CALENDAR: Funko Pop (day 4),2024-12-04,15:00:17Z,962869,66822,542.0,PT47S,7260000,47,1,Shorts,https://i.ytimg.com/vi/JNONw_epaQs/hqdefault.jpg,0,0,0,0,0,0,2024,12,4
108xkjUzIa8,Opening ENTIRE ADVENT CALENDAR: Sephora edition (day 3),2024-12-03,15:00:01Z,1334933,86873,367.0,PT49S,7260000,49,1,Shorts,https://i.ytimg.com/vi/108xkjUzIa8/hqdefault.jpg,0,0,0,0,1,0,2024,12,3
OPhzEtqjawc,WICKED ADVENT CALENDAR: the WORST calendar EVER??,2024-12-02,18:05:12Z,1209750,71624,464.0,PT1M2S,7260000,62,1,Shorts,https://i.ytimg.com/vi/OPhzEtqjawc/hqdefault.jpg,1,0,0,0,0,0,2024,12,2
YAWJSl3zipI,Opening ENTIRE ADVENT CALENDAR: ALL PINK theme (day 1),2024-12-01,22:57:08Z,2080655,109378,400.0,PT51S,7260000,51,1,Shorts,https://i.ytimg.com/vi/YAWJSl3zipI/hqdefault.jpg,0,0,0,0,0,0,2024,12,1
8BPxgu3XGTo,I Bought the SAME CLOTHES from Different Decades,2024-11-30,14:30:03Z,3327089,56451,2982.0,PT38M8S,7260000,2288,38,Full Video,https://i.ytimg.com/vi/8BPxgu3XGTo/hqdefault.jpg,0,1,0,0,0,0,2024,11,30
QoiT79hLEUs,I Tested EVERY Mystery Box Website (part 1),2024-11-16,14:30:11Z,11086750,154284,7865.0,PT43M29S,7260000,2609,43,Full Video,https://i.ytimg.com/vi/QoiT79hLEUs/hqdefault.jpg,0,1,0,0,0,0,2024,11,16
